Player,Team,Matches,Innings,Runs,Average,Strike Rate,100s,50s,High Score
Pathum Nissanka,Nondescripts Cricket Club,1,1,77,77,85.55,0,1,77
Shiran Fernando,Moors Sports Club,9,8,77,12.83,54.22,0,0,18
Shalin De Mel,Colts Cricket Club,1,1,76,76,80.85,0,1,76
Hasitha Amarasinghe,Bloomfield Cricket and Athletic Club,2,3,73,24.33,64.6,0,0,46
Randeera Ranasinghe,Kurunegala Youth Cricket Club,3,4,69,17.25,47.58,0,1,54
Pawan Sandesh,Colombo Cricket Club,3,5,68,22.67,58.11,0,0,19
Kalhara Senarathna,Chilaw Marians Cricket Club,5,7,68,11.33,43.31,0,1,59
Suwath Mendis,Nugegoda Sports and Welfare Club,3,6,66,33,21.35,0,0,36*
Nimesh Vimukthi,Panadura Sports Club,5,7,66,11,69.47,0,1,52
Chamika Heenatigala,Burgher Recreation Club,1,1,65,65,58.55,0,1,65
Nipun Malinga,Nugegoda Sports and Welfare Club,4,5,63,12.6,50,0,0,36
Malinda Pushpakumara,Badureliya Sports Club,7,8,63,10.5,35.19,0,0,41*
Sithum Dissanayake,Chilaw Marians Cricket Club,3,5,58,11.6,58,0,0,27
Inuka Karannagoda,Colombo Cricket Club,4,4,57,19,41.6,0,0,19
