Rank,Player,Team,Quality (Raw),Consistency Quality-Weighted (Raw),Participation (Raw),Dominance (Raw),Quality (Norm),Consistency Quality-Weighted (Norm),Participation (Norm),Dominance (Norm),WBI Score
254,Lasanda Rukmal,Sri Lanka Air Force Sports Club,22.7684,0.0481,0.3324,-1.0749,0.0481,0.1028,0.1835,0.07,0.0962
255,Chanuka Dilshan,Moors Sports Club,20.4563,0.0004,0.3886,-0.9568,0.0419,0.0009,0.2541,0.0927,0.0944
256,Tharinda Nirmal Guruge,Bloomfield Cricket and Athletic Club,56.9779,0.0061,0.2034,-0.3829,0.1391,0.013,0.0216,0.2033,0.0941
257,Keshara Nuwantha,Badureliya Sports Club,47.9418,0.003,0.2652,-0.6953,0.1151,0.0065,0.0991,0.1431,0.0936
258,Chaminda Bandara,Burgher Recreation Club,38.5145,0.002,0.2824,-0.7055,0.09,0.0042,0.1208,0.1411,0.0882
259,Heshan Hettiarachchi,Ace Capital Cricket Club,26.0299,0.0013,0.3369,-0.9408,0.0567,0.0027,0.1892,0.0958,0.0849
260,Tharusha Fernando,Tamil Union Cricket and Athletic Club,37.6859,0.0016,0.2652,-0.761,0.0878,0.0033,0.0991,0.1305,0.0801
261,Avindu Theekshana,Kandy Customs Sports Club,33.2845,0.0041,0.2479,-0.6201,0.076,0.0087,0.0775,0.1576,0.0752
262,Mohamed Dilshad,Panadura Sports Club,7.5609,0.0001,0.4041,-1.376,0.0076,0.0002,0.2736,0.012,0.0733
263,Naveen Fernando,Ace Capital Cricket Club,41.3101,0.0011,0.2479,-0.9929,0.0974,0.0023,0.0775,0.0858,0.0717
264,Lahiru Gamage,Nugegoda Sports and Welfare Club,19.799,0.0402,0.2552,-1.0875,0.0402,0.0859,0.0866,0.0676,0.065
265,Bhanuka Rajapaksha,Tamil Union Cricket and Athletic Club,33.8364,0.0034,0.2207,-0.9027,0.0775,0.0074,0.0433,0.1032,0.0588
266,Sanjula Bandara,Ragama Cricket Club,42.452,0.0011,0.1862,-0.8552,0.1004,0.0024,0.0,0.1123,0.0575
267,Chanura Fernando,Negombo Cricket Club,7.6695,0.0002,0.3469,-1.324,0.0079,0.0004,0.2017,0.022,0.057
268,Thimira Irushika,Chilaw Marians Cricket Club,19.1485,0.0005,0.2752,-1.0777,0.0384,0.001,0.1117,0.0695,0.0539
269,Gayan Sirisoma,Kandy Customs Sports Club,12.2474,0.0201,0.2752,-1.213,0.0201,0.0429,0.1117,0.0434,0.051
270,Tilanga Udeshana,Moors Sports Club,11.6082,0.0012,0.2924,-1.2658,0.0184,0.0025,0.1333,0.0332,0.0462
271,Theesan Vithusan,Tamil Union Cricket and Athletic Club,4.7068,0.0,0.3197,-1.4383,0.0,0.0,0.1675,0.0,0.0419
272,Ayon Fernando,Chilaw Marians Cricket Club,17.1892,0.0008,0.2479,-1.1591,0.0332,0.0017,0.0775,0.0538,0.0411
273,Chathura Randunu,Bloomfield Cricket and Athletic Club,24.6921,0.0005,0.2234,-1.1924,0.0532,0.0011,0.0468,0.0474,0.0403
274,Melan Hansaka,Chilaw Marians Cricket Club,8.2369,0.0001,0.2852,-1.359,0.0094,0.0002,0.1242,0.0153,0.0371
275,Theeraka Ranatunga,Ace Capital Cricket Club,20.2807,0.0013,0.2207,-1.1812,0.0414,0.0028,0.0433,0.0495,0.0354
276,Dulaj Samuditha,Bloomfield Cricket and Athletic Club,15.568,0.0003,0.2307,-1.2416,0.0289,0.0007,0.0558,0.0379,0.0313
277,Chamod Battage,Ace Capital Cricket Club,10.2103,0.0146,0.2207,-1.3318,0.0146,0.0313,0.0433,0.0205,0.026
